epocas;erro
0;0.2938986053705545
500;0.2535688252411545
1000;0.2499965809241422
1500;0.24974677361192005
2000;0.24970672787924414
2500;0.2496787044942586
3000;0.2496503126080452
3500;0.2496205756331786
4000;0.24958920806541707
4500;0.24955594721633428
